CONT. CONTÁBIL;CONTA CÓD.;DATA;NOME CLIENTE/FORNECEDOR;HISTÓRICO; CRÉDITO ;  DÉBITO
FRETE FUBA;1;05/06/22;CANARANA X UBERABA   R$ 285,00;;14210,09;
KM SAIDA ;2;05/06/22;489.184 KM ;;;
KM CHEGADA ;3;06/06/22;490.881 KM         ;KM RODADO 1.697 KM;;
DIESEL;13;06/05/22;CAMINHONEIRO E MARAJO ;896;;5957,56
ARLA;14;06/06/22;CAMINHONEIRO E MARAJO ;57;;205,63
TRIAGEM;15;06/05/22;PATIO;;;60
OFICINA DA CARRETA;20;06/05/22;PONTUAL SOLDAS SHEGO;PECAS E MAO DE OBRA;;1170
OFICINA DA CARRETA;20;06/06/22;PONTUAL SOLDAS SHEGO;;;30
LICENÇA RODOVIA;21;06/06/22;ENTREGUE EM MAOS;;;
COMISSAO;24;06/06/22;COMISSAO ;;;1563,1
SEGURO;25;06/06/22;SEGURO TAXAS E QUEBRA;;;180,52
FRETE FUBA;1;08/06/22;RIBEIRAO CASCALHEIRA X UBERABA;;14785,4;
KM SAIDA ;2;08/06/22;490.881 KM         ;;;
KM CHEGADA ;3;10/06/22;493.237 KM      ;DIFERENÇA 2.356 KM;;
DIESEL;13;10/06/22;CAMINHONEIRO E MARAJO ;1185;;7989,97
ARLA;14;10/06/22;CAMINHONEIRO E MARAJO ;59,07;;216,21
CONCERTO DE PNEUS;18;10/06/22;BORRACHARIA;;;50
OFICINA DO CAMINHAO;19;10/06/22;LOJA ;CERA STOPA E LAMPADAS;;95
TRIAGEM;15;10/06/22;PATIO;;;60
COMISSAO;24;10/06/22;COMISSAO ;;;1626,39
SEGURO;25;10/06/22;SEGURO ;;;181,35
PEDAGIO;29;10/06/22;CONCESSIONARIA;;;37
LICENÇA RODOVIA;21;10/06/22;AINDA NÃO RECEBI;;;
FRETE FUBA;1;14/06/22;RIBEIRAO CASCALHEIRA X RIO VERDE;245;12294,1;
KM SAIDA ;2;14/06/22;493.237 KM ;;;
KM CHEGADA ;3;16/06/22;495.423 KM;;;
DIESEL;13;16/06/22;CAMINHONEIRO E MARAJO ;1026;;6925,7
ARLA;14;16/06/22;CAMINHONEIRO E MARAJO ;;;159,05
CONCERTO DE PNEUS;18;16/06/22;BORRACHARIA;;;110
LICENÇA RODOVIA;21;16/06/22;DEPOSITO CAMINHONEIRO;;;
CLASSIFICADOR;22;14/06/22;CLASSIFICADOR ;;;20
COMISSAO;24;16/06/22;COMISSAO;;;1352,35
SEGURO;25;16/06/22;SEGURO TAXAS E QUEBRA;;;60,54
FRETE FUBA;1;18/06/22;GAUCHA DO NORTE X RIO VERDE;ADM 310,00;15332,6;
KM SAIDA ;2;18/06/22;495423;;;
KM CHEGADA ;3;23/06/22;497204;;;
DIESEL;13;23/06/22;CAMINHONEIRO E MARAJO ;963;;7249,58
ARLA;14;23/06/22;CAMINHONEIRO E MARAJO ;56,5;;199,23
OFICINA DO CAMINHAO;19;23/06/22;LAMPADA;;;15
LICENÇA RODOVIA;21;23/06/22;CAMINHONEIRO;;;
CLASSIFICADOR;22;18/06/22;CLASSIFICADOR ;;;20
COMISSAO;24;23/06/22;COMISSAO ;;;1686,58
SEGURO;25;23/06/22;SEGURO TAXAS;;;65,34
FRETE FUBA;1;26/06/22;GAUCHA DO NORTE X RIO VERDE;320;15980,8;
KM SAIDA ;2;26/06/22;497204;;;
KM CHEGADA ;3;28/06/22;498998;1.797 KM;;
DIESEL;13;28/06/22;CAMINHONEIRO;955;;7098
ARLA;14;28/06/22;CAMINHONEIRO;60;;219
OFICINA DA CARRETA;20;28/06/22;LACRE DA PLACA;;;50
COMISSAO;24;28/06/22;COMISSAO ;;;1757,88
